종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
SNDK US EQUITY,Sandisk Corp/DE,47,65439177,7.53,SNDK US EQUITY,stock
NVDA US EQUITY,NVIDIA Corp,197,57069923,6.57,NVDA US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,99,48586816,5.59,GOOGL US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,35,44001405,5.06,LITE US EQUITY,stock
CIEN US EQUITY,Ciena Corp,59,40635158,4.68,CIEN US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,104,33580978,3.86,BE US EQUITY,stock
CRCL US EQUITY,Circle Internet Group Inc,200,31102671,3.58,CRCL US EQUITY,stock
NBIS US EQUITY,Nebius Group NV,130,31035153,3.57,NBIS US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,124,29471144,3.39,ARM US EQUITY,stock
WDC US EQUITY,Western Digital Corp,51,27533957,3.17,WDC US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,45,25201522,2.9,TSM US EQUITY,stock
STX US EQUITY,Seagate Technology Holdings PLC,32,25164711,2.9,STX US EQUITY,stock
MU US EQUITY,Micron Technology Inc,36,24713134,2.84,MU US EQUITY,stock
INTC US EQUITY,Intel Corp,251,23611244,2.72,INTC US EQUITY,stock
TSEM US EQUITY,Tower Semiconductor Ltd,73,23041790,2.65,TSEM US EQUITY,stock
NQM6 Index,NASDAQ 100 E-MINI INDEX JUN 2026,0,22994645,2.65,NQM6 INDEX,futures
COIN US EQUITY,Coinbase Global Inc,84,22836006,2.63,COIN US EQUITY,stock
ASML US EQUITY,ASML Holding NV,10,22382778,2.58,ASML US EQUITY,stock
VRT US EQUITY,Vertiv Holdings Co,44,20141169,2.32,VRT US EQUITY,stock
,현금,19759543,19759543,2.27,현금,cash
META US EQUITY,Meta Platforms Inc,20,19532855,2.25,META US EQUITY,stock
SIMO US EQUITY,Silicon Motion Technology Corp,92,17651775,2.03,SIMO US EQUITY,stock
TSLA US EQUITY,Tesla Inc,32,17180916,1.98,TSLA US EQUITY,stock
AVGO US EQUITY,Broadcom Inc,29,16279030,1.87,AVGO US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,44,16152632,1.86,AMZN US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,9,13101952,1.51,GEV US EQUITY,stock
FTAI US EQUITY,FTAI Aviation Ltd,31,12314832,1.42,FTAI US EQUITY,stock
ASTS US EQUITY,AST SpaceMobile Inc,92,12012430,1.38,ASTS US EQUITY,stock
COHR US EQUITY,Coherent Corp,26,12013137,1.38,COHR US EQUITY,stock
AAOI US EQUITY,Applied Optoelectronics Inc,49,10574598,1.22,AAOI US EQUITY,stock
GLW US EQUITY,Corning Inc,39,9936078,1.14,GLW US EQUITY,stock
LRCX US EQUITY,Lam Research Corp,24,9638083,1.11,LRCX US EQUITY,stock
RKLB US EQUITY,Rocket Lab Corp,89,9475538,1.09,RKLB US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,16,9272364,1.07,MSFT US EQUITY,stock
AMD US EQUITY,Advanced Micro Devices Inc,22,8272532,0.95,AMD US EQUITY,stock
TER US EQUITY,Teradyne Inc,14,7543687,0.87,TER US EQUITY,stock
MSTR US EQUITY,Strategy Inc,35,7089943,0.82,MSTR US EQUITY,stock
AMAT US EQUITY,Applied Materials Inc,10,5832524,0.67,AMAT US EQUITY,stock
LLY US EQUITY,Eli Lilly & Co,4,5439798,0.63,LLY US EQUITY,stock
AAPL US EQUITY,Apple Inc,14,5341940,0.62,AAPL US EQUITY,stock
AEHR US EQUITY,Aehr Test Systems,42,4605341,0.53,AEHR US EQUITY,stock
FORM US EQUITY,FormFactor Inc,9,1701993,0.2,FORM US EQUITY,stock
